SEXO,DT_NASCIMENTO,NACIONALIDADE_ITEM,NACIONALIDADE,CIDADE_NATURAL,ESTADO_CIVIL,CRA,BAIRRO,CIDADE,ESTADO,FORMA_INGRESSO,FORMA_EVASAO,NUM_VERSAO,PERIODO_INGRESSO,DT_EVASAO,PERIODO_EVASAO,PERIODO_EVASAO_FORMATADO,ANO_PERIODO_EVASAO,PERIODO_INGRESSO_FORMATADO,ANO_PERIODO_INGRESSO,ZONA,IDADE_INGRESSO,IDADE_EVASAO,FORMA_INGRESSO_SIMPLES,FORMA_EVASAO_DETALHADA,STATUS_EVASAO,CRA_ARREDONDADO,TEMPO_CURSO,DISTANCIA_URCA
M,1988-07-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.6357,laranjeiras,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,CON - Curso concluído,2008/1,1.0,2023-02-11,1.0,2023.1,2023.0,2017.1,2017.0,Zona Sul,28.0,34.0,Ampla Concorrencia,CON - Curso concluído,Concluído,7.5,6.0,2.99
M,1994-07-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),0.2166,cachambi,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,JUB - Jubilamento,2008/1,2.0,2016-06-24,1.0,2016.1,2016.0,2014.2,2014.0,Zona Norte,20.0,21.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,0.0,1.5,13.03
M,1992-09-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),5.1276,catete,rio de janeiro,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,ABA - Abandono do curso,2008/1,1.0,2023-11-23,2.0,2023.2,2023.0,2016.1,2016.0,Zona Sul,23.0,30.0,Cotas,ABA - Abandono do curso,Evasão,5.0,7.5,3.26
F,2004-09-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),0.1739,botafogo,rio de janeiro,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,Sem evasão,2023/2,2.0,,,,,2023.2,2023.0,Zona Sul,18.0,,Cotas,Sem evasão,Cursando,0.0,,1.37
M,1963-10-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),1.775,copacabana,rio de janeiro,Rio de Janeiro,EN - ENEM,CAN - Cancelamento Geral do curso,2008/1,2.0,2013-07-11,1.0,2013.1,2013.0,2011.2,2011.0,Zona Sul,47.0,49.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,2.0,1.51,2.59
M,1963-10-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),2.4702,copacabana,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,CAN - Cancelamento Geral do curso,2008/1,2.0,2018-07-11,1.0,2018.1,2018.0,2013.2,2013.0,Zona Sul,49.0,54.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,2.5,4.5,2.59
M,1963-10-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),2.6041,copacabana,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2008/1,2.0,,,,,2018.2,2018.0,Zona Sul,54.0,,Ampla Concorrencia,Sem evasão,Cursando,2.5,,2.59
M,1990-10-01,1,Brasileira,VITÓRIA,Solteiro(a),4.4235,flamengo,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2008/1,2.0,,,,,2020.2,2020.0,Zona Sul,29.0,,Ampla Concorrencia,Sem evasão,Cursando,4.5,,2.33
M,1992-10-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),4.5448,flamengo,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,ABA - Abandono do curso,2008/1,1.0,2023-07-21,1.0,2023.1,2023.0,2015.1,2015.0,Zona Sul,22.0,30.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,4.5,8.0,2.33
M,1999-10-01,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.9726,engenho novo,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2008/1,1.0,,,,,2018.1,2018.0,Zona Norte,18.0,,Ampla Concorrencia,Sem evasão,Cursando,8.0,,11.39
