SEXO,DT_NASCIMENTO,NACIONALIDADE_ITEM,NACIONALIDADE,CIDADE_NATURAL,ESTADO_CIVIL,CRA,BAIRRO,CIDADE,ESTADO,FORMA_INGRESSO,FORMA_EVASAO,NUM_VERSAO,PERIODO_INGRESSO,DT_EVASAO,PERIODO_EVASAO,PERIODO_EVASAO_FORMATADO,ANO_PERIODO_EVASAO,PERIODO_INGRESSO_FORMATADO,ANO_PERIODO_INGRESSO,ZONA,IDADE_INGRESSO,IDADE_EVASAO,FORMA_INGRESSO_SIMPLES,FORMA_EVASAO_DETALHADA,STATUS_EVASAO,CRA_ARREDONDADO,TEMPO_CURSO,DISTANCIA_URCA
M,1988-02-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),9.0189,tijuca,rio de janeiro,Rio de Janeiro,EN - ENEM,CON - Curso concluído,2008/1,1.0,2012-01-24,1.0,2012.1,2012.0,2008.1,2008.0,Zona Norte,19.0,23.0,Ampla Concorrencia,CON - Curso concluído,Concluído,9.0,4.0,7.39
M,1991-02-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),2.5365,mutua,rio de janeiro,Rio de Janeiro,VE - Vestibular,CAN - Cancelamento Geral do curso,2008/1,1.0,2014-03-14,1.0,2014.1,2014.0,2008.1,2008.0,Outros,16.0,22.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,2.5,6.0,20.31
F,1996-02-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),0.0,botafogo,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,CAN - Cancelamento Geral do curso,2008/1,2.0,2023-04-20,1.0,2023.1,2023.0,2017.2,2017.0,Zona Sul,21.0,26.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,0.0,5.5,1.37
F,1989-03-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),6.796,flamengo,rio de janeiro,Rio de Janeiro,VE - Vestibular,CON - Curso concluído,2008/1,2.0,2011-12-19,2.0,2011.2,2011.0,2006.2,2006.0,Zona Sul,17.0,22.0,Ampla Concorrencia,CON - Curso concluído,Concluído,7.0,5.0,2.33
M,1990-03-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),5.4185,bonsucesso,rio de janeiro,Rio de Janeiro,VE - Vestibular,JUB - Jubilamento,2008/1,1.0,2017-08-21,2.0,2017.2,2017.0,2008.1,2008.0,Zona Norte,17.0,27.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,5.5,9.5,13.11
M,1994-04-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),6.6395,olaria,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,CON - Curso concluído,2008/1,1.0,2018-03-23,2.0,2017.2,2017.0,2013.1,2013.0,Zona Norte,18.0,23.0,Ampla Concorrencia,CON - Curso concluído,Concluído,6.5,4.5,96.6
F,2003-04-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),10.0,maracana,rio de janeiro,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,CAN - Cancelamento Geral do curso,2023/2,1.0,2023-08-14,2.0,2023.2,2023.0,2022.1,2022.0,Zona Norte,18.0,20.0,Cotas,CAN - Cancelamento Geral do curso,Evasão,10.0,1.49,7.97
F,1986-05-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.1222,tijuca,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,CAN - Cancelamento Geral do curso,2008/1,2.0,2018-08-24,2.0,2018.2,2018.0,2016.2,2016.0,Zona Norte,30.0,32.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,7.0,2.0,7.39
M,1990-05-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),1.5403,flamengo,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,CAN - Cancelamento Geral do curso,2008/1,2.0,2016-02-25,1.0,2016.1,2016.0,2013.2,2013.0,Zona Sul,23.0,25.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,1.5,2.5,2.33
M,1983-06-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),0.0307,cachambi,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,CAN - Cancelamento Geral do curso,2008/1,1.0,2015-10-22,2.0,2015.2,2015.0,2014.1,2014.0,Zona Norte,30.0,32.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,0.0,1.49,13.03
M,1994-06-08,1,Brasileira,VOLTA REDONDA,Solteiro(a),3.0666,barra da tijuca,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,JUB - Jubilamento,2008/1,2.0,2017-11-27,2.0,2017.2,2017.0,2016.2,2016.0,Zona Oeste,22.0,23.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,3.0,1.0,20.93
M,1994-06-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.2521,botafogo,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2023/2,1.0,,,,,2022.1,2022.0,Zona Sul,27.0,,Ampla Concorrencia,Sem evasão,Cursando,8.5,,1.37
M,2000-06-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.6647,estacio,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2008/1,1.0,,,,,2019.1,2019.0,Zona Norte,18.0,,Ampla Concorrencia,Sem evasão,Cursando,8.5,,5.53
M,1994-07-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),6.2586,iraja,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,CAN - Cancelamento Geral do curso,2008/1,1.0,2022-11-29,2.0,2022.2,2022.0,2014.1,2014.0,Zona Norte,19.0,27.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,6.5,8.5,20.68
M,1981-08-08,1,Brasileira,RIO DE JANEIRO,Casado(a),0.0,urca,rio de janeiro,Rio de Janeiro,EN - ENEM,ABA - Abandono do curso,2008/1,1.0,2011-07-15,1.0,2011.1,2011.0,2010.1,2010.0,Zona Sul,28.0,29.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,0.0,1.0,0.0
M,1993-08-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.2645,flamengo,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,CON - Curso concluído,2008/1,1.0,2021-05-05,1.0,2020.1,2020.0,2018.1,2018.0,Zona Sul,24.0,26.0,Ampla Concorrencia,CON - Curso concluído,Concluído,8.5,2.0,2.33
M,1997-08-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),4.2138,sao cristovao,rio de janeiro,Rio de Janeiro,"SISU Escola Pública até 1,5 S.M Preto e Pardo",ABA - Abandono do curso,2008/1,1.0,2023-11-21,2.0,2023.2,2023.0,2020.1,2020.0,Zona Norte,22.0,25.0,Cotas,ABA - Abandono do curso,Evasão,4.0,3.5,8.21
M,1998-08-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.165,barra da tijuca,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,CAN - Cancelamento Geral do curso,2008/1,2.0,2022-02-22,2.0,2021.2,2021.0,2016.2,2016.0,Zona Oeste,17.0,22.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,7.0,5.0,20.93
F,2004-08-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),6.857,pechincha,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2023/2,1.0,,,,,2023.1,2023.0,Zona Oeste,18.0,,Ampla Concorrencia,Sem evasão,Cursando,7.0,,19.22
M,1991-09-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),2.4456,bonsucesso,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,JUB - Jubilamento,2008/1,1.0,2017-07-04,1.0,2017.1,2017.0,2013.1,2013.0,Zona Norte,21.0,25.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,2.5,4.0,13.11
M,1993-09-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),3.4681,olaria,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,JUB - Jubilamento,2008/1,1.0,2023-06-23,1.0,2023.1,2023.0,2016.1,2016.0,Zona Norte,22.0,29.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,3.5,7.0,96.6
M,1985-10-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),0.0363,copacabana,rio de janeiro,Rio de Janeiro,VE - Vestibular,ABA - Abandono do curso,2008/1,1.0,2011-07-15,1.0,2011.1,2011.0,2009.1,2009.0,Zona Sul,23.0,25.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,0.0,2.0,2.59
M,1988-10-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),4.7855,meier,rio de janeiro,Rio de Janeiro,VE - Vestibular,CON - Curso concluído,2008/1,2.0,2015-10-22,2.0,2015.2,2015.0,2007.2,2007.0,Zona Norte,18.0,26.0,Ampla Concorrencia,CON - Curso concluído,Concluído,5.0,8.0,12.84
M,2003-10-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.24,humaitá,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2008/1,2.0,,,,,2022.2,2022.0,Zona Sul,18.0,,Ampla Concorrencia,Sem evasão,Cursando,7.0,,3.33
M,1986-12-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),0.765,vila da penha,rio de janeiro,Rio de Janeiro,VE - Vestibular,ABA - Abandono do curso,2005/2,2.0,2009-03-27,1.0,2009.1,2009.0,2006.2,2006.0,Zona Norte,19.0,22.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,1.0,2.51,19.04
M,1992-12-08,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.1641,quitandinha,petropolis,Rio de Janeiro,SISU Ampla Concorrencia,CON - Curso concluído,2008/1,2.0,2022-04-12,1.0,2021.1,2021.0,2014.2,2014.0,Região Serrana,21.0,28.0,Ampla Concorrencia,CON - Curso concluído,Concluído,7.0,6.51,47.51
M,1988-01-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.1368,copacabana,rio de janeiro,Rio de Janeiro,EN - ENEM,CON - Curso concluído,2008/1,2.0,2017-02-13,1.0,2017.1,2017.0,2012.2,2012.0,Zona Sul,24.0,28.0,Ampla Concorrencia,CON - Curso concluído,Concluído,8.0,4.5,2.59
M,1992-01-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.318,praça seca,rio de janeiro,Rio de Janeiro,EN - ENEM,CON - Curso concluído,2008/1,1.0,2018-03-23,2.0,2017.2,2017.0,2012.1,2012.0,Zona Oeste,19.0,25.0,Ampla Concorrencia,CON - Curso concluído,Concluído,8.5,5.5,19.91
M,1988-02-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.7696,botafogo,rio de janeiro,Rio de Janeiro,VE - Vestibular,CON - Curso concluído,2008/1,1.0,2014-08-06,2.0,2014.2,2014.0,2008.1,2008.0,Zona Sul,19.0,26.0,Ampla Concorrencia,CON - Curso concluído,Concluído,9.0,6.5,1.37
M,1989-02-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),5.9099,coelho da rocha,rio de janeiro,Rio de Janeiro,EN - ENEM,CON - Curso concluído,2008/1,1.0,2017-08-30,2.0,2017.2,2017.0,2010.1,2010.0,Outros,20.0,28.0,Ampla Concorrencia,CON - Curso concluído,Concluído,6.0,7.5,29.54
F,1993-02-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),1.6191,jardim rosario,duque de caxias,Rio de Janeiro,SISU Ampla Concorrencia,JUB - Jubilamento,2008/1,2.0,2016-06-24,1.0,2016.1,2016.0,2013.2,2013.0,Baixada Fluminense,20.0,22.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,1.5,2.5,
F,1994-02-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.911,copacabana,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,CON - Curso concluído,2008/1,1.0,2020-10-02,2.0,2019.2,2019.0,2015.1,2015.0,Zona Sul,20.0,25.0,Ampla Concorrencia,CON - Curso concluído,Concluído,8.0,4.5,2.59
M,1994-02-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),4.5586,cachambi,rio de janeiro,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,CAN - Cancelamento Geral do curso,2008/1,1.0,2019-02-05,1.0,2019.1,2019.0,2016.1,2016.0,Zona Norte,21.0,24.0,Cotas,CAN - Cancelamento Geral do curso,Evasão,4.5,3.0,13.03
M,1987-03-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),2.409,icarai,rio de janeiro,Rio de Janeiro,EN - ENEM,ABA - Abandono do curso,2008/1,2.0,2011-07-15,1.0,2011.1,2011.0,2008.2,2008.0,Niterói/São Gonçalo,21.0,23.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,2.5,2.5,8.44
F,1994-03-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.6479,eden,sao joao de meriti,Rio de Janeiro,EN - ENEM,CON - Curso concluído,2008/1,2.0,2017-06-26,1.0,2017.1,2017.0,2012.2,2012.0,Baixada Fluminense,18.0,22.0,Ampla Concorrencia,CON - Curso concluído,Concluído,7.5,4.5,29.35
M,1987-04-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),4.1101,copacabana,rio de janeiro,Rio de Janeiro,VE - Vestibular,JUB - Jubilamento,2008/1,2.0,2016-08-30,2.0,2016.2,2016.0,2008.2,2008.0,Zona Sul,21.0,29.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,4.0,8.0,2.59
M,1991-04-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),0.1818,tijuca,rio de janeiro,Rio de Janeiro,EN - ENEM,CAN - Cancelamento Geral do curso,2008/1,2.0,2012-09-25,1.0,2012.1,2012.0,2011.2,2011.0,Zona Norte,20.0,20.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,0.0,0.5,7.39
M,1987-05-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),0.0,vila isabel,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,ABA - Abandono do curso,2008/1,1.0,2018-05-14,1.0,2018.1,2018.0,2015.1,2015.0,Zona Norte,27.0,30.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,0.0,3.0,9.45
F,1991-05-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.0616,santa teresa,rio de janeiro,Rio de Janeiro,VE - Vestibular,CON - Curso concluído,2008/1,1.0,2013-10-10,2.0,2013.2,2013.0,2009.1,2009.0,Centro,17.0,22.0,Ampla Concorrencia,CON - Curso concluído,Concluído,7.0,4.5,4.05
M,1997-05-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),3.9384,taquara,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,JUB - Jubilamento,2008/1,2.0,2017-07-04,1.0,2017.1,2017.0,2015.2,2015.0,Zona Oeste,18.0,19.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,4.0,1.51,22.51
M,1996-06-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),4.5838,cosmorama,mesquita,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2008/1,2.0,,,,,2017.2,2017.0,Baixada Fluminense,21.0,,Ampla Concorrencia,Sem evasão,Cursando,4.5,,31.23
M,1999-06-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.2648,itanhanga,rio de janeiro,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,Sem evasão,2008/1,1.0,,,,,2018.1,2018.0,Zona Oeste,18.0,,Cotas,Sem evasão,Cursando,8.5,,14.51
M,2003-06-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.5761,senador vasconcelos,rio de janeiro,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,Sem evasão,2023/2,2.0,,,,,2021.2,2021.0,Zona Oeste,18.0,,Cotas,Sem evasão,Cursando,8.5,,37.59
M,2004-06-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.6,copacabana,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2023/2,1.0,,,,,2023.1,2023.0,Zona Sul,18.0,,Ampla Concorrencia,Sem evasão,Cursando,8.5,,2.59
M,1991-07-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.222,engenho da rainha,rio de janeiro,Rio de Janeiro,EN - ENEM,CON - Curso concluído,2008/1,2.0,2015-03-17,1.0,2015.1,2015.0,2010.2,2010.0,Zona Norte,18.0,23.0,Ampla Concorrencia,CON - Curso concluído,Concluído,7.0,4.5,16.4
F,1989-08-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),0.0,andaraí,rio de janeiro,Rio de Janeiro,VE - Vestibular,ABA - Abandono do curso,2008/1,1.0,2008-12-18,2.0,2008.2,2008.0,2008.1,2008.0,Zona Norte,18.0,18.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,0.0,0.5,9.2
F,1990-08-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.024,vila valqueire,rio de janeiro,Rio de Janeiro,VE - Vestibular,CON - Curso concluído,2008/1,2.0,2014-08-06,2.0,2014.2,2014.0,2009.2,2009.0,Zona Oeste,18.0,23.0,Ampla Concorrencia,CON - Curso concluído,Concluído,7.0,5.0,21.55
M,1995-08-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),0.0,barra da tijuca,rio de janeiro,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,CAN - Cancelamento Geral do curso,2008/1,2.0,2022-06-23,1.0,2022.1,2022.0,2021.2,2021.0,Zona Oeste,25.0,26.0,Cotas,CAN - Cancelamento Geral do curso,Evasão,0.0,0.5,20.93
F,1997-08-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.8684,vila guanabara,duque de caxias,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,Sem evasão,2008/1,2.0,,,,,2019.2,2019.0,Baixada Fluminense,21.0,,Cotas,Sem evasão,Cursando,9.0,,
M,1999-08-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.951,jardim america,rio de janeiro,Rio de Janeiro,"SISU Escola Pública até 1,5 S.M Preto e Pardo",CAN - Cancelamento Geral do curso,2008/1,1.0,2024-03-21,1.0,2024.1,2024.0,2020.1,2020.0,Zona Norte,20.0,24.0,Cotas,CAN - Cancelamento Geral do curso,Evasão,8.0,4.0,22.55
M,2002-08-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.2886,gloria,rio de janeiro,Rio de Janeiro,"SISU Escola Pública até 1,5 S.M Preto e Pardo",Sem evasão,2023/2,1.0,,,,,2022.1,2022.0,Centro,19.0,,Cotas,Sem evasão,Cursando,7.5,,4.01
F,2004-08-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.4256,centro,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2023/2,1.0,,,,,2023.1,2023.0,Centro,18.0,,Ampla Concorrencia,Sem evasão,Cursando,8.5,,23.57
M,1960-09-09,1,Brasileira,ILHEUS,Casado(a),5.9338,fazendinha,rio de janeiro,Rio de Janeiro,VE - Vestibular,CON - Curso concluído,2008/1,2.0,2017-03-10,1.0,2017.1,2017.0,2007.2,2007.0,Outros,46.0,56.0,Ampla Concorrencia,CON - Curso concluído,Concluído,6.0,9.51,76.54
M,1990-09-09,1,Brasileira,NATAL,Solteiro(a),1.2898,maracana,rio de janeiro,Rio de Janeiro,VE - Vestibular,JUB - Jubilamento,2008/1,2.0,2014-05-29,1.0,2014.1,2014.0,2009.2,2009.0,Zona Norte,18.0,23.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,1.5,4.5,7.97
M,2001-09-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),6.745,benfica,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2023/2,2.0,,,,,2020.2,2020.0,Zona Norte,18.0,,Ampla Concorrencia,Sem evasão,Cursando,6.5,,10.1
M,1981-10-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),0.0,vila isabel,rio de janeiro,Rio de Janeiro,EN - ENEM,ABA - Abandono do curso,2008/1,2.0,2013-01-30,2.0,2012.2,2012.0,2011.2,2011.0,Zona Norte,29.0,30.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,0.0,1.0,9.45
M,1990-10-09,1,Brasileira,CURITIBA,Solteiro(a),4.3156,vila da penha,rio de janeiro,Rio de Janeiro,EN - ENEM,ABA - Abandono do curso,2008/1,2.0,2023-07-21,1.0,2023.1,2023.0,2011.2,2011.0,Zona Norte,20.0,32.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,4.5,11.5,19.04
F,2002-10-09,1,Brasileira,CATAGUASES,Solteiro(a),8.8189,taquara,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2023/2,2.0,,,,,2023.2,2023.0,Zona Oeste,20.0,,Ampla Concorrencia,Sem evasão,Cursando,9.0,,22.51
M,1983-11-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),5.7843,icarai,rio de janeiro,Rio de Janeiro,VE - Vestibular,CON - Curso concluído,2008/1,1.0,2012-12-11,2.0,2012.2,2012.0,2005.1,2005.0,Niterói/São Gonçalo,21.0,28.0,Ampla Concorrencia,CON - Curso concluído,Concluído,6.0,7.5,8.44
F,1988-11-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),0.0,freguesia,rio de janeiro,Rio de Janeiro,EN - ENEM,ABA - Abandono do curso,2008/1,1.0,2011-09-29,2.0,2011.2,2011.0,2011.1,2011.0,Zona Oeste,22.0,22.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,0.0,0.5,17.93
M,1990-11-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),0.0,tijuca,rio de janeiro,Rio de Janeiro,VE - Vestibular,ABA - Abandono do curso,2008/1,1.0,2008-12-19,2.0,2008.2,2008.0,2008.1,2008.0,Zona Norte,17.0,17.0,Ampla Concorrencia,ABA - Abandono do curso,Evasão,0.0,0.5,7.39
M,1984-12-09,1,Brasileira,RIO DE JANEIRO,Solteiro(a),6.1648,meier,rio de janeiro,Rio de Janeiro,VE - Vestibular,JUB - Jubilamento,2005/2,2.0,2014-06-09,1.0,2014.1,2014.0,2007.2,2007.0,Zona Norte,22.0,29.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,6.0,6.51,12.84
M,1995-01-10,1,Brasileira,RIO DE JANEIRO,Solteiro(a),4.9564,olaria,rio de janeiro,Rio de Janeiro,EN - ENEM,CAN - Cancelamento Geral do curso,2008/1,2.0,2016-10-14,2.0,2016.2,2016.0,2012.2,2012.0,Zona Norte,17.0,21.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,5.0,4.0,96.6
M,1986-03-10,1,Brasileira,RIO DE JANEIRO,Solteiro(a),1.023,tijuca,rio de janeiro,Rio de Janeiro,EN - ENEM,JUB - Jubilamento,2008/1,1.0,2016-06-24,1.0,2016.1,2016.0,2012.1,2012.0,Zona Norte,25.0,29.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,1.0,4.0,7.39
M,1986-03-10,1,Brasileira,CARIACICA,Solteiro(a),8.7596,anchieta,rio de janeiro,Rio de Janeiro,EN - ENEM,CON - Curso concluído,2008/1,1.0,2017-02-13,1.0,2017.1,2017.0,2012.1,2012.0,Zona Norte,25.0,30.0,Ampla Concorrencia,CON - Curso concluído,Concluído,9.0,5.0,27.79
M,2005-03-10,1,Brasileira,NOVA IGUAÇU,Solteiro(a),8.2547,ouro verde,nova iguacu,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,Sem evasão,2023/2,2.0,,,,,2023.2,2023.0,Baixada Fluminense,18.0,,Cotas,Sem evasão,Cursando,8.5,,39.45
M,1991-04-10,1,Brasileira,RIO DE JANEIRO,Solteiro(a),1.4545,centro,nilopolis,Rio de Janeiro,EN - ENEM,JUB - Jubilamento,2008/1,1.0,2013-08-23,1.0,2013.1,2013.0,2012.1,2012.0,Centro,20.0,21.0,Ampla Concorrencia,JUB - Jubilamento,Evasão,1.5,1.0,23.57
F,2001-04-10,1,Brasileira,RIO DE JANEIRO,Solteiro(a),9.2275,gloria,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2023/2,1.0,,,,,2019.1,2019.0,Centro,17.0,,Ampla Concorrencia,Sem evasão,Cursando,9.0,,4.01
M,2002-04-10,1,Brasileira,RIO DE JANEIRO,Solteiro(a),7.8989,centro,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2023/2,2.0,,,,,2020.2,2020.0,Centro,18.0,,Ampla Concorrencia,Sem evasão,Cursando,8.0,,23.57
M,2004-04-10,1,Brasileira,FORTALEZA,Solteiro(a),6.9523,calhau,sao luis,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2023/2,2.0,,,,,2022.2,2022.0,Outros,18.0,,Ampla Concorrencia,Sem evasão,Cursando,7.0,,2267.14
M,1979-05-10,1,Brasileira,CABO FRIO,Solteiro(a),8.6129,botafogo,rio de janeiro,Rio de Janeiro,VE - Vestibular,CON - Curso concluído,2005/2,2.0,2010-02-24,1.0,2010.1,2010.0,2005.2,2005.0,Zona Sul,26.0,30.0,Ampla Concorrencia,CON - Curso concluído,Concluído,8.5,4.5,1.37
F,1982-06-10,1,Brasileira,RIO DE JANEIRO,Solteiro(a),5.8449,meier,rio de janeiro,Rio de Janeiro,EN - ENEM,CAN - Cancelamento Geral do curso,2008/1,2.0,2011-09-23,2.0,2011.2,2011.0,2011.2,2011.0,Zona Norte,29.0,29.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,6.0,0.0,12.84
M,2003-06-10,1,Brasileira,RIO DE JANEIRO,Solteiro(a),8.488,laranjeiras,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2023/2,1.0,,,,,2021.1,2021.0,Zona Sul,17.0,,Ampla Concorrencia,Sem evasão,Cursando,8.5,,2.99
M,1987-07-10,1,Brasileira,NATAL,Solteiro(a),4.1337,catete,rio de janeiro,Rio de Janeiro,EN - ENEM,CON - Curso concluído,2008/1,1.0,2018-03-23,2.0,2017.2,2017.0,2009.1,2009.0,Zona Sul,21.0,29.0,Ampla Concorrencia,CON - Curso concluído,Concluído,4.0,8.5,3.26
M,2003-07-10,1,Brasileira,RIO DE JANEIRO,Solteiro(a),3.1,freguesia,rio de janeiro,Rio de Janeiro,"SISU Escola Pública até 1,5 S.M Preto e Pardo",Sem evasão,2023/2,1.0,,,,,2023.1,2023.0,Zona Oeste,19.0,,Cotas,Sem evasão,Cursando,3.0,,17.93
M,1996-08-10,1,Brasileira,RIO DE JANEIRO,Solteiro(a),5.1156,cachambi,rio de janeiro,Rio de Janeiro,SISU Escola Publica - Indep. de Renda,Sem evasão,2008/1,2.0,,,,,2016.2,2016.0,Zona Norte,19.0,,Cotas,Sem evasão,Cursando,5.0,,13.03
F,1975-09-10,1,Brasileira,RIO DE JANEIRO,Solteiro(a),1.2121,copacabana,rio de janeiro,Rio de Janeiro,VE - Vestibular,CAN - Cancelamento Geral do curso,2008/1,1.0,2013-10-21,2.0,2013.2,2013.0,2007.1,2007.0,Zona Sul,31.0,37.0,Ampla Concorrencia,CAN - Cancelamento Geral do curso,Evasão,1.0,6.5,2.59
M,1987-09-10,1,Brasileira,RIO DE JANEIRO,Solteiro(a),6.3131,freguesia,rio de janeiro,Rio de Janeiro,SISU Ampla Concorrencia,Sem evasão,2008/1,1.0,,,,,2015.1,2015.0,Zona Oeste,27.0,,Ampla Concorrencia,Sem evasão,Cursando,6.5,,17.93
